4;95;Photo1;New York;0;New York is the most populous city in the United States and the center of the New York Metropolitan Area, one of the most populous urban agglomerations in the world. A global power city, New York exerts a significant impact upon commerce, finance, media, art, fashion, research, technology, education, and entertainment. New York is the most densely populated major city in the United States. As many as 800 languages are spoken in New York, making it the most linguistically diverse city in the world. Providing continuous 24/7 service, the New York City Subway is one of the most extensive rapid transit systems worldwide. ;
5;85;Photo2;San Francisco;0;San Francisco is the leading financial and cultural center of Northern California and the San Francisco Bay Area. San Francisco is the fourth most populous city in California, after Los Angeles, San Diego and San Jose. The city is renowned for its cool summers, fog, steep rolling hills, eclectic mix of architecture, and landmarks including the Golden Gate Bridge, cable cars, the former prison on Alcatraz Island, and its Chinatown district. It is also a primary banking and finance center.;
3;65;Photo3;Chicago;0;Chicago (s the third most populous city in the United States, after New York City and Los Angeles. With 2.7 million residents, it is the most populous city in both the U.S. state of Illinois and the American Midwest. Today, the city is an international hub for finance, commerce, industry, telecommunications, and transportation, with O'Hare International Airport being the second-busiest airport in the world in terms of traffic movements. Chicago's culture includes contributions to the visual arts, novels, film, theater, especially improvisational comedy, and music, particularly blues and soul. The city has many nicknames, which reflect the impressions and opinions about historical and contemporary Chicago. The best-known include Windy City and Second City.;
5;100;Photo4;Los Angeles;0;Los Angeles, officially the City of Los Angeles, often known by its initials L.A., is the most populous city in the U.S. state of California and the second-most populous in the United States, after New York City. Nicknamed the City of Angels, Los Angeles is a global city, with strengths in business, international trade, entertainment, culture, media, fashion, science, sports, technology, education, medicine and research and has been ranked sixth in the Global Cities Index and 9th Global Economic Power Index. The city is home to renowned institutions covering a broad range of professional and cultural fields and is one of the most substantial economic engines within the United States. Los Angeles includes Hollywood and leads the world in the creation of television productions, video games, and recorded music.;
4;120;Photo5;Washington;0;Washington, D.C., formally the District of Columbia and commonly referred to as Washington, the District, or simply D.C., is the capital of the United States. Washington, D.C., had an estimated population of 632,323 in 2012, the 24th most populous place in the United States. Washington is home to many national monuments and museums, which are primarily situated on or around the National Mall. The city hosts 176 foreign embassies as well as the headquarters of many international organizations, trade unions, non-profit organizations, lobbying groups, and professional associations.;
4;150;Photo6;Paris;1;Paris is the capital and most populous city of France. It is situated on the River Seine, in the north of the country, at the heart of the ÃŽle-de-France region. Centuries of cultural and political development have brought Paris a variety of museums, theatres, monuments and architectural styles. Many of its masterpieces such as the Louvre and the Arc de Triomphe are iconic buildings, especially its internationally recognized symbol, the Eiffel Tower. Long regarded as an international centre for the arts, works by history's most famous painters can be found in the Louvre, the MusÃ©e d'Orsay and its many other museums and galleries. Paris is a global hub of fashion and has been referred to as the international capital of style, noted for its haute couture tailoring, its high-end boutiques, and the twice-yearly Paris Fashion Week. It is world renowned for its haute cuisine, attracting many of the world's leading chefs. ;
5;95;Photo7;Bruges;1;Bruges is the capital and largest city of the province of West Flanders in the Flemish Region of Belgium. It is located in the northwest of the country. The area of the whole city amounts to more than 13,840 hectares, including 1,075 hectares off the coast, at Zeebrugge . The historic city centre is a prominent World Heritage Site of UNESCO. It is oval-shaped and about 430 hectares in size. Along with a few other canal-based northern cities, such as Amsterdam, it is sometimes referred to as The Venice of the North. Bruges has a significant economic importance thanks to its port. At one time, it was the chief commercial city of the world.;
3;75;Photo8;Amsterdam;1;Amsterdam is the capital city of and most populous within the Kingdom of the Netherlands. The city is located in the province of North Holland in the west of the country. It comprises much of the northern part of the Randstad, one of the larger conurbations in Europe, with a population of approximately 7 million. As the commercial capital of the Netherlands and one of the top financial centres in Europe, Amsterdam is considered an alpha world city by the Globalization and World Cities (GaWC) study group. The city is also the cultural capital of the Netherlands. Amsterdam's main attractions, including its historic canals, the Rijksmuseum, the Van Gogh Museum, Stedelijk Museum, Hermitage Amsterdam, Anne Frank House, Amsterdam Museum, its red-light district, and its many cannabis coffee shops draw more than 3.66 million international visitors annually.;
2;125;Photo9;Barcelona;1;Barcelona is a Spanish city, capital of the autonomous community of Catalonia and the second largest city in the country. It is also the largest metropolis on the Mediterranean Sea. It is located on the Mediterranean coast between the mouths of the rivers Llobregat and BesÃ²s and is bounded to the west by the Serra de Collserola ridge. Barcelona is today one of the world's leading tourist, economic, trade fair/exhibitions and cultural-sports centres, and its influence in commerce, education, entertainment, media, fashion, science, and the arts all contribute to its status as one of the world's major global cities.;
4;20;Photo10;Cologne;1;Cologne is Germany's fourth-largest city (after Berlin, Hamburg, and Munich), and is the largest city both in the German Federal State of North Rhine-Westphalia and within the Rhine-Ruhr Metropolitan Area, one of the major European metropolitan areas with more than ten million inhabitants. Cologne is located on both sides of the Rhine River. The city's famous Cologne Cathedral (KÃ¶lner Dom) is the seat of the Catholic Archbishop of Cologne. The University of Cologne (UniversitÃ¤t zu KÃ¶ln) is one of Europe's oldest and largest universities. It is home to more than thirty museums and hundreds of galleries. Exhibitions range from local ancient Roman archeological sites to contemporary graphics and sculpture. The Cologne Trade Fair hosts a number of trade shows such as Art Cologne, imm Cologne, Gamescom, and the Photokina.;
4;25;Photo11;Vienna;1;Vienna is the capital and largest city of Austria, and one of the nine states of Austria. It is the 7th-largest city by population within city limits in the European Union. Vienna is host to many major international organizations, including the United Nations and OPEC. Apart from being regarded as the City of Music because of its musical legacy, Vienna is also said to be The City of Dreams because it was home to the world's first psycho-analyst - Sigmund Freud. The Historic centre of Vienna is rich in architectural ensembles, including Baroque castles and gardens, as well as the late-19th-century Ringstrasse lined with grand buildings, monuments and parks.;
5;95;Photo12;Tokyo;2;Tokyo, officially Tokyo Metropolis, is one of the 47 prefectures of Japan. Tokyo is the capital of Japan, the centre of the Greater Tokyo Area, and the largest metropolitan area in the world. It is the seat of the Japanese government and the Imperial Palace, and the home of the Japanese Imperial Family. Tokyo is in the Kant? region on the southeastern side of the main island Honshu and includes the Izu Islands and Ogasawara Islands. Tokyo is often thought of as a city but is commonly referred to as a metropolitan prefecture.  Tokyo hosted the Summer Olympic Games in 1964 and is scheduled to host again in 2020.;
3;105;Photo13;Bangkok;2;Bangkok is the capital and the most populous city of Thailand. The city occupies 1,568.7 square kilometres in the Chao Phraya River delta in Central Thailand, and has a population of over eight million, or 12.6 percent of the country's population. Over fourteen million people (22.2 percent) live within the surrounding Bangkok Metropolitan Region, making Bangkok an extreme primate city, dwarfing Thailand's other urban centres in terms of importance.;
4;205;Photo14;Hongkong;2;Hong Kong is one of the two Special Administrative Regions of the People's Republic of China, the other being Macau. It is situated on China's south coast and, enclosed by the Pearl River Delta and South China Sea, it is known for its expansive skyline and deep natural harbour. With a land mass of 1,104 km2 and a population of seven million people, Hong Kong is one of the most densely populated areas in the world. The lack of space caused demand for denser constructions, which developed the city to a centre for modern architecture and the world's most vertical city. The dense space also led to a highly developed transportation network with the public transport travelling rate exceeding 90 percent, the highest in the world. ;
5;105;Photo15;Mumbai;2;Mumbai, previously known as Bombay, is the capital city of the Indian state of Maharashtra. It is the most populous city in India, and the fourth most populous city in the world, with a total metropolitan area population of approximately 20.5 million. Along with the neighbouring urban areas, including the cities of Navi Mumbai and Thane, it is one of the most populous urban regions in the world. Mumbai lies on the west coast of India and has a deep natural harbour. Mumbai is the commercial and entertainment capital of India. The city also houses India's Hindi (Bollywood) and Marathi film and television industry. Mumbai's business opportunities, as well as its potential to offer a higher standard of living, attract migrants from all over India, making the city a melting pot of many communities and cultures.;
1;115;Photo16;Cairo;3;Cairo is the capital of Egypt and the largest city in the Arab world and Africa. Its metropolitan area is the 16th largest in the world. Located near the Nile Delta, it was founded in AD 969. Nicknamed the city of a thousand minarets for its preponderance of Islamic architecture, Cairo has long been a centre of the region's political and cultural life. Cairo has the oldest and largest film and music industries in the Arab world, as well as the world's second-oldest institution of higher learning, al-Azhar University. Many international media, businesses, and organizations have regional headquarters in the city; the Arab League has had its headquarters in Cairo for most of its existence.
